index,time,loss
0,5.1907,48.1991
1,5.3350,2.4444
2,5.4797,2.5158
3,5.6229,2.4098
4,5.7709,2.5632
5,5.9095,2.6466
6,6.0542,2.6064
7,6.2038,2.5659
8,6.3559,2.6987
9,6.4999,2.7400
10,6.6475,2.5529
11,6.7900,2.7188
12,6.9365,2.5796
13,7.0835,2.4985
14,7.2532,2.4004
15,7.3915,2.6072
16,7.5291,2.7035
17,7.6733,2.4811
18,7.8100,2.6025
19,7.9494,2.4873
20,8.0962,2.5916
21,8.2364,2.5543
22,8.3740,2.6727
23,8.5208,2.3683
24,8.6673,2.5169
25,8.8025,2.6210
26,8.9464,2.5727
27,9.0941,2.6894
28,9.2333,2.4411
29,9.3814,2.5285
30,9.5196,2.4629
31,9.6684,2.5598
32,9.8148,2.3439
33,9.9502,2.5609
34,10.1007,2.4910
35,10.2486,2.4910
36,10.3889,2.5492
37,10.5440,2.3634
38,10.6915,2.5185
39,10.8282,2.4618
40,10.9741,2.2590
41,11.1132,2.5360
42,11.2539,2.3840
43,11.3989,2.6125
44,11.5421,2.4929
45,11.6834,2.3202
46,11.8322,2.4777
47,11.9745,2.6666
48,12.1249,2.4596
49,12.2643,2.6179
50,12.4090,2.3998
51,12.5600,2.5806
52,12.7118,2.3642
53,12.8506,2.5729
54,12.9972,2.4239
55,13.1447,2.5793
56,13.2938,2.4071
57,13.4400,2.5773
58,13.5837,2.4749
59,13.7223,2.4911
60,13.8718,2.4692
61,14.0189,2.4711
62,14.1644,2.5828
63,14.3117,2.6307
64,14.4648,2.4788
65,14.6095,2.5101
66,14.7536,2.5441
67,14.8902,2.2833
68,15.0448,2.4371
69,15.1943,2.3547
70,15.3337,2.4361
71,15.4790,2.6271
72,15.6315,2.4418
73,15.7709,2.5413
74,15.9139,2.4890
75,16.0655,2.5885
76,16.2127,2.5054
77,16.3721,2.3770
78,16.5161,2.3561
79,16.6639,2.5481
80,16.8023,2.3481
81,16.9515,2.6054
82,17.0897,2.4564
83,17.2297,2.3538
84,17.3724,2.4119
85,17.5107,2.5530
86,17.6474,2.4614
87,17.7877,2.5903
88,17.9331,2.5221
89,18.0818,2.5511
90,18.2287,2.4798
91,18.3797,2.5904
92,18.5042,2.5147
93,18.6224,2.6123
94,18.7489,2.4219
95,18.8932,2.4721
96,19.0344,2.5523
97,19.1722,2.4548
98,19.3130,2.6456
99,19.4609,2.5032
100,19.6062,2.4776
101,19.7527,2.5369
102,19.8921,2.4946
103,20.0279,2.6329
104,20.1678,2.5845
105,20.3156,2.4257
106,20.4597,2.5541
107,20.6010,2.4689
108,20.7447,2.3999
109,20.8896,2.3096
110,21.0317,2.3056
111,21.1671,2.5114
112,21.3082,2.4927
113,21.4491,2.6353
114,21.5839,2.5739
115,21.7288,2.5143
116,21.8764,2.5073
117,22.0148,2.3683
118,22.1628,2.4764
119,22.3070,2.3982
120,22.4458,2.4248
121,22.5826,2.5120
122,22.6951,2.5079
123,22.8082,2.6368
124,22.9213,2.4318
125,23.0334,2.5590
126,23.1458,2.4226
127,23.2668,2.4829
128,23.4903,2.5535
129,23.6902,2.6241
130,23.8942,2.6708
131,24.0945,2.4560
132,24.3012,2.5769
133,24.4916,2.4667
134,24.6952,2.3770
135,24.8975,2.4023
136,25.0901,2.5641
137,25.2787,2.3807
138,25.4569,2.4189
139,25.6627,2.4159
140,25.8432,2.4008
141,26.0490,2.5647
142,26.2560,2.4385
143,26.4675,2.5738
144,26.6604,2.4892
145,26.8660,2.4425
146,27.0581,2.5943
147,27.2579,2.5633
148,27.4557,2.4419
149,27.6518,2.3302
150,27.8491,2.6186
151,28.0607,2.4667
152,28.2521,2.4402
153,28.4494,2.5170
154,28.6462,2.4587
155,28.8476,2.4321
156,29.0562,2.4463
157,29.2506,2.4447
158,29.4580,2.4076
159,29.6476,2.4553
160,29.8595,2.5822
161,30.0557,2.4844
162,30.2489,2.4373
163,30.4598,2.4374
164,30.6647,2.4375
165,30.8621,2.5264
166,31.0682,2.5458
167,31.2666,2.5885
168,31.4707,2.5402
169,31.6703,2.6032
170,31.8661,2.5752
171,32.0672,2.6314
172,32.2661,2.4410
173,32.4644,2.5120
174,32.6700,2.5219
175,32.8747,2.4784
176,33.0847,2.6559
177,33.2805,2.5178
178,33.4755,2.3625
179,33.6749,2.4504
180,33.8745,2.4624
181,34.0745,2.4185
182,34.2798,2.5610
183,34.4772,2.5866
184,34.6747,2.4508
185,34.8797,2.4719
186,35.0799,2.4849
187,35.2738,2.5514
188,35.4939,2.5185
189,35.6858,2.4704
190,35.8822,2.3535
191,36.0855,2.3840
192,36.2818,2.5278
193,36.4839,2.5390
194,36.6896,2.5260
195,36.8925,2.4197
196,37.0991,2.6076
197,37.3014,2.5300
198,37.5067,2.4476
199,37.7132,2.6077
200,37.9161,2.3601
201,38.1146,2.4207
202,38.3195,2.5071
203,38.5279,2.5050
204,38.7284,2.6487
205,38.9294,2.4403
206,39.1260,2.4977
207,39.3479,2.5184
208,39.5611,2.3114
209,39.7635,2.6126
210,39.9700,2.4584
211,40.1733,2.3502
212,40.3727,2.4989
213,40.5780,2.5055
214,40.7809,2.6089
215,40.9819,2.6076
216,41.1845,2.6697
217,41.3841,2.5268
218,41.5862,2.2567
219,41.7811,2.3302
220,41.9849,2.4430
221,42.1827,2.5180
222,42.3887,2.5119
223,42.5902,2.3888
224,42.7971,2.4713
225,42.9988,2.4100
226,43.1833,2.3506
227,43.3736,2.5522
228,43.5710,2.3294
229,43.7681,2.2849
230,43.9824,2.7448
231,44.2118,2.5334
232,44.4312,2.3888
233,44.6411,2.6056
234,44.8438,2.2988
235,45.0462,2.3598
236,45.2513,2.4764
237,45.4497,2.4107
238,45.6465,2.5831
239,45.8446,2.5845
240,46.0427,2.4059
241,46.2425,2.5396
242,46.4548,2.6236
243,46.6572,2.4027
244,46.8539,2.3859
245,47.0544,2.5641
246,47.2412,2.4589
247,47.4397,2.4430
248,47.6442,2.3672
249,47.8434,2.4132
250,48.0496,2.4789
251,48.2495,2.4360
252,48.4506,2.2930
253,48.6516,2.4051
254,48.8561,2.4691
255,49.0527,2.5473
256,49.2566,2.4497
257,49.4672,2.4476
258,49.6471,2.5019
259,49.8529,2.4483
260,50.0587,2.5680
261,50.2492,2.6566
262,50.4485,2.4464
263,50.6518,2.5359
264,50.8548,2.5856
265,51.0587,2.4375
266,51.2634,2.5455
267,51.4693,2.3973
268,51.6671,2.2867
269,51.8641,2.3935
270,52.0682,2.4647
271,52.2770,2.4438
272,52.4858,2.3875
273,52.6787,2.6336
274,52.8807,2.3661
275,53.0788,2.4589
276,53.2779,2.2797
277,53.4852,2.5556
278,53.6932,2.5273
279,53.8957,2.3376
280,54.1133,2.4638
281,54.3073,2.5489
282,54.5016,2.5583
283,54.7090,2.4969
284,54.9194,2.3679
285,55.1224,2.4069
286,55.3266,2.4608
287,55.5266,2.4044
288,55.7310,2.6746
289,55.9309,2.3355
290,56.1265,2.6421
291,56.3210,2.6087
292,56.5365,2.3843
293,56.7456,2.5408
294,56.9690,2.5839
295,57.1846,2.5748
296,57.3796,2.5082
297,57.5819,2.5241
298,57.7811,2.4953
299,57.9816,2.5845
300,58.1819,2.5605
301,58.3803,2.3124
302,58.5781,2.3935
303,58.7772,2.2942
304,58.9774,2.6082
305,59.1800,2.3795
306,59.3854,2.4732
307,59.5860,2.6002
308,59.7995,2.4222
309,59.9907,2.4759
310,60.1912,2.6044
311,60.4012,2.4516
312,60.5927,2.4796
313,60.7904,2.4903
314,60.9956,2.6440
315,61.1917,2.3892
316,61.4037,2.3468
317,61.6060,2.5515
318,61.8028,2.5985
319,62.0001,2.5182
320,62.2058,2.5363
321,62.4090,2.3373
322,62.6104,2.4789
323,62.8068,2.6016
324,63.0185,2.4606
325,63.2241,2.5241
326,63.4236,2.5305
327,63.6173,2.4290
328,63.8216,2.3234
329,64.0410,2.4545
330,64.2402,2.3990
331,64.4361,2.5559
332,64.6357,2.3978
333,64.8296,2.5823
334,65.0346,2.4265
335,65.2308,2.5602
336,65.4314,2.5425
337,65.6389,2.3625
338,65.8466,2.3627
339,66.0492,2.4437
340,66.2469,2.5649
341,66.4427,2.3823
342,66.6477,2.4639
343,66.8472,2.5377
344,67.0512,2.3968
345,67.2557,2.6480
346,67.4477,2.3742
347,67.6436,2.5439
348,67.8410,2.4992
349,68.0427,2.3347
350,68.2400,2.4969
351,68.4499,2.5265
352,68.6668,2.5559
353,68.8764,2.5601
354,69.0615,2.3666
355,69.2634,2.2922
356,69.4694,2.4579
357,69.6672,2.4354
358,69.8822,2.4966
359,70.0854,2.5192
360,70.2909,2.5313
361,70.4956,2.5389
362,70.7062,2.5245
363,70.9307,2.4820
364,71.1418,2.3513
365,71.3432,2.4250
366,71.5323,2.3469
367,71.7367,2.4728
368,71.9295,2.3789
369,72.1232,2.5432
370,72.3192,2.4651
371,72.5220,2.3986
372,72.7211,2.4060
373,72.9246,2.4978
374,73.1178,2.5062
375,73.3160,2.5213
376,73.5182,2.5228
377,73.7187,2.3607
378,73.9206,2.5371
379,74.1237,2.5160
380,74.3188,2.5625
381,74.5312,2.6098
382,74.7324,2.5336
