index,time,loss
0,3.5297,2.7786
1,3.6202,2.5671
2,3.6623,2.6216
3,3.8993,2.5613
4,3.9439,2.4224
5,3.9861,2.4440
6,4.2204,2.4420
7,4.2640,2.2110
8,4.3095,2.4026
9,4.5235,2.4407
10,4.5683,2.1970
11,4.6125,2.4685
12,4.8307,2.3123
13,4.8730,2.2394
14,4.9148,2.3717
15,5.1436,2.3152
16,5.1859,2.1617
17,5.2281,2.3660
18,5.4434,2.2561
19,5.4854,2.0444
20,5.5291,2.2605
21,5.7435,2.0860
22,5.7853,2.0621
23,5.8284,2.2069
24,6.0535,2.0608
25,6.0961,1.9946
26,6.1380,2.1920
27,6.3497,2.0109
28,6.4081,1.9386
29,6.4493,2.0946
30,6.6857,1.9903
31,6.7269,1.8426
32,6.7693,2.0774
33,6.9856,1.9292
34,7.0272,1.7665
35,7.0702,2.0145
36,7.2857,1.8501
37,7.3298,1.7542
38,7.3733,1.9338
39,7.6086,1.8127
40,7.6510,1.6744
41,7.6923,1.8249
42,7.9187,1.7115
43,7.9603,1.5942
44,8.0020,1.7271
45,8.2092,1.6438
46,8.2539,1.5408
47,8.2957,1.6366
48,8.5156,1.5440
49,8.5583,1.4216
50,8.6018,1.5768
51,8.8576,1.4700
52,8.9025,1.3934
53,8.9466,1.5093
54,9.1569,1.4770
55,9.2019,1.3410
56,9.2442,1.4645
57,9.4650,1.4174
58,9.5073,1.2564
59,9.5487,1.3712
60,9.7601,1.3892
61,9.8041,1.2360
62,9.8458,1.4105
63,10.0824,1.3335
64,10.1241,1.1966
65,10.1655,1.3292
66,10.3784,1.3439
67,10.4226,1.1041
68,10.4646,1.2479
69,10.6791,1.2809
70,10.7227,1.1165
71,10.7665,1.1811
72,10.9823,1.1642
73,11.0243,1.0713
74,11.0807,1.1933
75,11.3368,1.1737
76,11.3788,0.9725
77,11.4205,1.0544
78,11.6347,1.1395
79,11.6767,0.9595
80,11.7182,1.0642
81,11.9426,1.0577
82,11.9843,0.9171
83,12.0253,1.0080
84,12.2711,0.9943
85,12.3137,0.9304
86,12.3556,1.0481
87,12.5683,0.9654
88,12.6113,0.9028
89,12.6549,0.9270
90,12.8701,1.0040
91,12.9123,0.8074
92,12.9542,0.9161
93,13.1711,0.9894
94,13.2152,0.8390
95,13.2592,0.8680
96,13.4973,0.9150
97,13.5391,0.7628
98,13.5802,0.8780
99,13.8024,0.9082
100,13.8452,0.8027
101,13.8862,0.8440
102,14.1072,0.7747
103,14.1500,0.8021
104,14.1916,0.8188
105,14.4150,0.8539
106,14.4570,0.7322
107,14.5008,0.7645
108,14.7089,0.7557
109,14.7520,0.7027
110,14.7954,0.7562
111,15.0198,0.7333
112,15.0627,0.6812
113,15.1056,0.6775
114,15.3197,0.7582
115,15.3632,0.6820
116,15.4048,0.7220
117,15.6259,0.7078
118,15.6670,0.6298
119,15.7232,0.6677
120,15.9506,0.6999
121,15.9948,0.6262
122,16.0370,0.6604
123,16.2656,0.6986
124,16.3084,0.5793
125,16.3499,0.6625
126,16.5802,0.6700
127,16.6251,0.5627
128,16.6672,0.6800
129,16.9105,0.6575
130,16.9553,0.6072
131,16.9986,0.6384
132,17.2199,0.6330
133,17.2624,0.5392
134,17.3040,0.5742
135,17.5316,0.5765
136,17.5734,0.5313
137,17.6151,0.6149
138,17.8640,0.6037
139,17.9082,0.5265
140,17.9496,0.6043
141,18.1740,0.5752
142,18.2181,0.5380
143,18.2596,0.5612
144,18.4816,0.5641
145,18.5245,0.5062
146,18.5668,0.5700
147,18.7840,0.5709
148,18.8270,0.4910
149,18.8690,0.5285
150,19.1411,0.5542
151,19.1832,0.4811
152,19.2246,0.5311
153,19.4454,0.5604
154,19.4881,0.5076
155,19.5308,0.4929
156,19.7581,0.5304
157,19.8002,0.5175
158,19.8436,0.5150
159,20.0659,0.5530
160,20.1103,0.4807
161,20.1521,0.4953
162,20.3760,0.5946
163,20.4194,0.4665
164,20.4772,0.5381
165,20.6960,0.5301
166,20.7532,0.4923
167,20.7959,0.5011
168,21.0135,0.5117
169,21.0560,0.5023
170,21.0981,0.5116
171,21.3203,0.5115
172,21.3621,0.4611
173,21.4055,0.5131
174,21.6274,0.5316
175,21.6698,0.4644
176,21.7118,0.4962
